gRNA	gene	S1	S2	S3
HTRA4_-_38831763.23-P1P2|HTRA4_-_38831775.23-P1P2	HTRA4	3.990613e-01	-1.905566e-01	-8.787265e-02
HTT_-_3076430.23-P1P2|HTT_-_3076434.23-P1P2	HTT	1.250813e+00	7.738737e-01	1.228924e+00
HUNK_-_33245366.23-P1P2|HUNK_+_33245444.23-P1P2	HUNK	1.673015e-01	1.947703e-01	-1.128960e-01
HUS1B_+_656970.23-P1P2|HUS1B_+_656918.23-P1P2	HUS1B	-1.236893e+00	-4.818279e-01	-1.319271e+00
HUS1_+_48019118.23-P1P2|HUS1_+_48019133.23-P1P2	HUS1	-6.911341e-01	1.848964e-01	4.640241e-01
HUWE1_-_53710518.23-P1P2|HUWE1_+_53710912.23-P1P2	HUWE1	-2.903349e+00	-3.015499e+00	-3.065855e+00
HVCN1_+_111126909.23-P1P2|HVCN1_-_111126887.23-P1P2	HVCN1	-6.140214e-01	-5.649739e-01	-4.377612e-01
HYAL1_+_50336828.23-P2|HYAL1_+_50336842.23-P2	HYAL1	2.173161e-01	4.678897e-01	4.937462e-01
HYAL1_-_50340765.23-P1|HYAL1_-_50340761.23-P1	HYAL1	1.023421e-02	4.760122e-02	-9.877765e-01
HYAL2_+_50358851.23-P1|HYAL2_+_50358857.23-P1	HYAL2	7.934866e-02	8.118995e-03	1.533516e-01
HYAL2_+_50360140.23-P2|HYAL2_-_50360114.23-P2	HYAL2	-3.164493e-01	8.895541e-01	1.216604e-01
HYAL4_+_123485549.23-ENST00000223026.4|HYAL4_+_123485469.23-ENST00000223026.4	HYAL4	1.149105e+00	4.012989e-01	5.873153e-02
HYAL4_+_123488161.23-ENST00000476325.1|HYAL4_+_123488106.23-ENST00000476325.1	HYAL4	-6.714055e-01	1.458909e-01	4.047973e-01
HYDIN_+_71264543.23-P1P2|HYDIN_+_71264576.23-P1P2	HYDIN	8.279788e-02	-3.941233e-01	1.049362e-02
HYI_-_43919663.23-P1P2|HYI_-_43919506.23-P1P2	HYI	2.374697e-01	2.409946e-01	7.616614e-01
HYKK_+_78799918.23-P1P2|HYKK_+_78799929.23-P1P2	HYKK	2.433028e-01	-3.396485e-02	-9.785925e-02
HYLS1_+_125757982.23-P1P2|HYLS1_+_125757918.23-P1P2	HYLS1	1.235573e+00	3.085076e+00	1.190505e+00
HYOU1_-_118927773.23-P1P2|HYOU1_+_118927661.23-P1P2	HYOU1	2.658420e+00	-1.990397e+00	3.026219e+00
HYPK_-_44093008.23-P1P2|HYPK_-_44092879.23-P1P2	HYPK	1.708652e+00	-1.799372e-01	7.759564e-01
IAH1_+_9614729.23-P1P2|IAH1_-_9614937.23-P1P2	IAH1	2.970549e-02	5.401230e-01	-3.845519e-01
IAPP_-_21525841.23-P1P2|IAPP_-_21525856.23-P1P2	IAPP	-1.208960e-01	-1.735578e-01	-4.612532e-01
IARS2_-_220267547.23-P1P2|IARS2_-_220267478.23-P1P2	IARS2	-8.732786e-02	2.991236e+00	1.159116e-02
IARS_+_95055891.23-P1P2|IARS_-_95055898.23-P1P2	IARS	-2.373415e+00	-3.995120e-02	2.210102e-01
IBA57_+_228353489.23-P1P2|IBA57_-_228353555.23-P1P2	IBA57	-3.841595e-01	-3.611620e-01	-4.008431e-01
IBSP_+_88720748.23-P1P2|IBSP_+_88720769.23-P1P2	IBSP	1.736305e-01	-4.584611e-01	3.750194e-01
IBTK_-_82950492.23-P2|IBTK_+_82950510.23-P2	IBTK	-1.171847e+00	-1.639716e-01	-7.197369e-01
IBTK_-_82957413.23-P1|IBTK_-_82957256.23-P1	IBTK	1.403737e-01	3.478756e-01	1.504201e-01
ICA1L_+_203736130.23-P1P2|ICA1L_-_203736141.23-P1P2	ICA1L	-2.772710e-01	3.103757e-01	6.936551e-02
